"","MA-12","MA-50","MA-55","MA-64","MA-65","MA-66","MA-67","MA-68","MA-69","MA-75","MA-79","MA-80","MA-85"
"Deletion",20,0,0,0,0,0,0,1,0,0,0,2,0
"Duplication",31,43,1,10,29,9,9,9,14,2,5,51,27
