"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL4",1.01152107005071e-20,0.352328098395973,0.822,0.764,1.61499454044297e-16,"ncpf","RPL4"
"HSPA5",2.36917946182826e-20,0.584177402812337,0.648,0.554,3.782631928755e-16,"ncpf","HSPA5"
"DOK2",4.85825006036478e-19,0.504291086095856,0.469,0.355,7.75668204637841e-15,"ncpf","DOK2"
"RPL5",7.68390827832412e-18,0.279498308053026,0.871,0.827,1.22681279571723e-13,"ncpf","RPL5"
"PTP4A1",9.60698511516378e-18,0.334118505677233,0.359,0.245,1.53385124348705e-13,"ncpf","PTP4A1"
"UBB",1.19447150072635e-16,0.277711536989147,0.961,0.949,1.9070931980597e-12,"ncpf","UBB"
"WBP5",1.60357542359472e-16,0.515299237286872,0.314,0.215,2.56026852131133e-12,"ncpf","WBP5"
"IL32",5.80326037331137e-15,0.35734540787562,0.348,0.237,9.26548551202893e-11,"ncpf","IL32"
"HIF1A",6.14799874302844e-15,0.374012231647563,0.621,0.539,9.8158947931192e-11,"ncpf","HIF1A"
"HNRNPA1",5.49898641465915e-14,0.287426986673778,0.825,0.786,8.7796817096448e-10,"ncpf","HNRNPA1"
"XBP1",7.4215254246573e-14,0.339267986650734,0.55,0.449,1.18492074930079e-09,"ncpf","XBP1"
"GADD45G",8.11930737039615e-14,0.431507728963316,0.297,0.199,1.29632861475745e-09,"ncpf","GADD45G"
"DEDD2",9.55260476802155e-14,0.314470109856824,0.282,0.19,1.52516887726232e-09,"ncpf","DEDD2"
"HMGB2",3.86533088346074e-13,0.349073871775022,0.481,0.373,6.17138728853341e-09,"ncpf","HMGB2"
"JUN",8.07305639668259e-13,0.330043748287613,0.873,0.84,1.28894418429434e-08,"ncpf","JUN"
"UPP1",8.60492614292851e-13,0.281443739556331,0.399,0.294,1.37386250797997e-08,"ncpf","UPP1"
"MRPL23",2.1355142099157e-12,0.266523466687184,0.284,0.197,3.40956198755141e-08,"ncpf","MRPL23"
"DNAJA4",2.46600034672127e-12,0.484602095178434,0.471,0.378,3.93721615357518e-08,"ncpf","DNAJA4"
"SNHG25",6.88822442423201e-12,0.252246631198485,0.31,0.217,1.09977391157288e-07,"ncpf","SNHG25"
"RGS2",7.53198508409958e-12,0.479211378279945,0.711,0.663,1.20255673852734e-07,"ncpf","RGS2"
"DNAJB4",7.57010563982285e-12,0.356811438872275,0.297,0.212,1.20864306645412e-07,"ncpf","DNAJB4"
"HSPH1",9.31450430956065e-12,0.340295148166587,0.784,0.735,1.48715375806445e-07,"ncpf","HSPH1"
"GADD45B",1.11711387722124e-11,0.295010798568907,0.925,0.917,1.78358401637143e-07,"ncpf","GADD45B"
"DNAJB6",1.24826698858183e-11,0.338770692875836,0.702,0.654,1.99298307396975e-07,"ncpf","DNAJB6"
"SLC25A6",1.51836302781464e-11,0.270312905502212,0.751,0.696,2.42421841020886e-07,"ncpf","SLC25A6"
"CSF2RA",2.22896892401382e-11,0.301210009379115,0.438,0.347,3.55877178408046e-07,"ncpf","CSF2RA"
