"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BHLHE40",4.0364807831673e-08,0.267078633309997,0.535,0.456,0.00064446452184049,"ncpf","BHLHE40"
"ADGRE5",3.3319924279395e-06,0.29258600286335,0.598,0.543,0.0531985911044821,"ncpf","ADGRE5"
"ARPC5L",3.45696596608339e-06,0.264513136178708,0.434,0.37,0.0551939186144874,"ncpf","ARPC5L"
"IRF1",1.71822435189409e-05,0.264615341732752,0.578,0.527,0.274331700023411,"ncpf","IRF1"
"LINC00996",2.17262342613948e-05,0.28362233687322,0.466,0.408,0.34688105621743,"ncpf","LINC00996"
"RP11-347P5.1",2.36941743655144e-05,0.36586985871389,0.319,0.266,0.378301187919802,"ncpf","RP11-347P5.1"
"HSPD1",0.000607435711397641,0.274041337114618,0.445,0.403,1,"ncpf","HSPD1"
"SAT1",0.00217288992245651,0.26092871920038,0.706,0.69,1,"ncpf","SAT1"
"CD69",0.00246133283947169,0.255768547700253,0.576,0.535,1,"ncpf","CD69"
"C1orf56",0.0060706552329011,0.276396169797269,0.262,0.225,1,"ncpf","C1orf56"
"IGKC",2.53827016330019e-134,1.37327337269994,0.424,0.039,4.05260214272508e-130,"rpl","IGKC"
"HLA-B",7.16255039636795e-99,0.50186745179998,0.991,0.986,1.14357279628411e-94,"rpl","HLA-B"
"AREG",2.38799294149696e-57,0.947338083431772,0.719,0.525,3.81266953039404e-53,"rpl","AREG"
"ZNF683",2.26768506484392e-52,0.797958065375915,0.577,0.313,3.6205859745298e-48,"rpl","ZNF683"
"RPL28",2.67454079016142e-46,0.281016780055876,0.993,0.989,4.27017182557173e-42,"rpl","RPL28"
"LY6E",1.9393353890377e-45,0.578907127177394,0.824,0.721,3.0963428821376e-41,"rpl","LY6E"
"CD7",5.56261658733054e-45,0.536551965070894,0.919,0.853,8.88127364333194e-41,"rpl","CD7"
"HLA-C",2.75619995177618e-44,0.292755248059183,0.984,0.974,4.40054884300586e-40,"rpl","HLA-C"
"SPP1",7.50402773226986e-42,0.68545217454912,0.337,0.134,1.19809306773421e-37,"rpl","SPP1"
"BST2",7.41230879966571e-41,0.653160444922037,0.658,0.497,1.18344922295463e-36,"rpl","BST2"
"SRGN",4.11491704730041e-40,0.366807599967169,0.982,0.988,6.56987655771983e-36,"rpl","SRGN"
"SNRNP25",8.71884336059028e-40,0.773020952203558,0.457,0.257,1.39205053095184e-35,"rpl","SNRNP25"
"RPL26",4.74520300662829e-34,0.264513509467215,0.982,0.979,7.57619112038273e-30,"rpl","RPL26"
"ISG15",6.6221097421775e-31,0.72201486393055,0.651,0.495,1.05728604143606e-26,"rpl","ISG15"
"TPT1",1.11707470761795e-28,0.250434266189282,0.991,0.989,1.78352147818282e-24,"rpl","TPT1"
"KRT81",1.22194918976625e-28,0.594038049655063,0.636,0.49,1.9509640763808e-24,"rpl","KRT81"
"ARHGDIB",2.52658942711303e-26,0.332059748104221,0.898,0.85,4.03395267932866e-22,"rpl","ARHGDIB"
"KRT86",1.63703444637011e-25,0.527690754305743,0.643,0.497,2.61368919707451e-21,"rpl","KRT86"
"NACA",2.30341554450575e-24,0.284201437393442,0.926,0.905,3.67763325835788e-20,"rpl","NACA"
"RPL36AL",1.11800356950062e-23,0.336412917663176,0.891,0.83,1.78500449906468e-19,"rpl","RPL36AL"
"FXYD5",1.23374268553649e-22,0.38833335268786,0.76,0.661,1.96979357172755e-18,"rpl","FXYD5"
"TSC22D3",3.62498850923828e-22,0.44993779199772,0.807,0.694,5.78765665384984e-18,"rpl","TSC22D3"
"BTG1",9.56006324964083e-22,0.283919627189552,0.956,0.922,1.52635969843765e-17,"rpl","BTG1"
"GLTSCR2",3.86496463544177e-21,0.372067752103179,0.695,0.567,6.17080253694633e-17,"rpl","GLTSCR2"
"IFI6",1.23269570884453e-20,0.597835229789983,0.377,0.239,1.96812196874118e-16,"rpl","IFI6"
"ZFP36L2",2.05693423350731e-20,0.317595296176622,0.919,0.876,3.28410119721777e-16,"rpl","ZFP36L2"
"CTSA",9.46771707846372e-20,0.45898689577015,0.45,0.313,1.51161570874752e-15,"rpl","CTSA"
"IGFBP2",1.79799843753168e-19,0.568753154694072,0.624,0.532,2.87068430536309e-15,"rpl","IGFBP2"
"XCL1",2.10443595941763e-19,0.387615829675039,0.818,0.715,3.35994245280619e-15,"rpl","XCL1"
