"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RGS1",5.1859995547761e-26,0.46846529281517,0.842,0.75,8.27996688915553e-22,"rpl","RGS1"
"ARHGDIB",4.48095339859657e-25,0.287798532887722,0.939,0.887,7.15429019619929e-21,"rpl","ARHGDIB"
"LY6E",5.74356198411869e-25,0.41125740709974,0.687,0.571,9.1701710638439e-21,"rpl","LY6E"
"IFI6",7.05762998673207e-25,0.501093104182662,0.388,0.249,1.12682120368164e-20,"rpl","IFI6"
"HLA-DPB1",1.18817865385796e-20,0.418551820292624,0.697,0.603,1.89704603874962e-16,"rpl","HLA-DPB1"
"ISG20",3.12879049502e-19,0.388609398009068,0.581,0.463,4.99542690434893e-15,"rpl","ISG20"
"TSC22D3",3.35013345133301e-19,0.359455893945507,0.828,0.737,5.34882306839829e-15,"rpl","TSC22D3"
"FTH1",3.07168497962373e-17,0.291285539952807,0.998,0.995,4.90425223846725e-13,"rpl","FTH1"
"CXCL8",7.91315954350602e-17,0.433502192803286,0.321,0.217,1.26341505271617e-12,"rpl","CXCL8"
"RPS27L",1.62924212812645e-16,0.457866558848214,0.503,0.399,2.6012479817667e-12,"rpl","RPS27L"
"LEPROTL1",4.118123088419e-16,0.305381456070978,0.683,0.59,6.57499532296978e-12,"rpl","LEPROTL1"
"CD53",1.64311207623159e-15,0.328495978519631,0.671,0.602,2.62339274091135e-11,"rpl","CD53"
"CXCR6",9.41457408268992e-15,0.452303350100457,0.251,0.158,1.50313089804227e-10,"rpl","CXCR6"
"CSTB",1.03821961514848e-13,0.339967940458478,0.468,0.368,1.65762143754607e-09,"rpl","CSTB"
"PSMB9",2.70844035494062e-13,0.310874609277277,0.59,0.497,4.3242958706982e-09,"rpl","PSMB9"
"GZMB",5.00644283477312e-13,0.669630798467717,0.448,0.357,7.99328662999877e-09,"rpl","GZMB"
"PRF1",2.71167532572544e-12,0.521398749566003,0.341,0.25,4.32946082505324e-08,"rpl","PRF1"
"ARID5B",4.63435216976103e-12,0.368018165779269,0.279,0.192,7.39920667424045e-08,"rpl","ARID5B"
"HLA-DPA1",4.90663379272695e-11,0.315592600744779,0.592,0.512,7.83393151346784e-07,"rpl","HLA-DPA1"
"FAM177A1",7.74652837918675e-11,0.288378026275064,0.606,0.522,1.23681072102096e-06,"rpl","FAM177A1"
"C1QA",2.43251646318448e-10,0.281757881577883,0.307,0.223,3.88375578512034e-06,"rpl","C1QA"
"SH2D2A",3.95227897938412e-10,0.28949863675945,0.323,0.241,6.31020861848469e-06,"rpl","SH2D2A"
"TSTD1",4.29706089137923e-10,0.281805916427931,0.331,0.251,6.86068741917608e-06,"rpl","TSTD1"
"HLA-DRB5",2.73263695111161e-09,0.304974569248017,0.334,0.256,4.3629281561448e-05,"rpl","HLA-DRB5"
"BIRC3",4.99599384977694e-09,0.309645723871956,0.4,0.315,7.97660378055387e-05,"rpl","BIRC3"
"CD2",2.76796110686311e-08,0.269168579087375,0.739,0.697,0.000441932670321764,"rpl","CD2"
"IL7R",9.4248973804706e-07,0.305495346938393,0.298,0.235,0.0150477911576594,"rpl","IL7R"
"TIGIT",4.68466646579055e-06,0.284116865996742,0.273,0.218,0.0747953847928119,"rpl","TIGIT"
"GPR183",2.58238898074268e-05,0.259058234905368,0.438,0.386,0.412304224665376,"rpl","GPR183"
"DUSP4",8.26785267908451e-05,0.280182551268909,0.367,0.319,1,"rpl","DUSP4"
